,x,y,theta
0,9.555090909617704,7.908571728312942,2.2390149722886696
1,9.519527598941659,7.963009281169724,2.2661699753001585
2,9.483437642532293,7.994741755162181,2.2913630215596044
3,9.466030902954596,8.00216947868404,2.302011805412972
4,9.418771595782315,8.04698839207045,2.31570787893609
5,9.38297006167478,8.11271279568991,2.3303488257545446
6,9.377451116410034,8.127789059869256,2.336979785472039
7,9.335296598918976,8.150351575433975,2.3414536227982867
8,9.320540288091626,8.152023424851985,2.3421733989635545
9,9.31481462848248,8.15787601544031,2.343839689217029
10,9.285404921400765,8.160495987911606,2.3410553224138777
11,9.230275371193448,8.211725994485223,2.3581753854525913
12,9.158118727473761,8.276213126040862,2.3678946783528527
13,9.112654174415686,8.32663040223589,2.380471500878382
14,9.091604323775636,8.356812649043,2.3879559125279943
15,9.046979977799499,8.382611714873468,2.394072099567154
16,8.967801937034451,8.404889627188625,2.4262110313211753
17,8.895450162366199,8.426372997153674,2.432701951396501
18,8.832258133969868,8.466397364127443,2.4523010434548738
19,8.812141829341753,8.462739670291345,2.480176120190226
20,8.790021503185192,8.458661477717436,2.4782507124774416
21,8.759440093659027,8.471705325024288,2.5075075133081928
22,8.710767617518792,8.508505178786134,2.549887318543819
23,8.651479192340043,8.54828451326061,2.5780448918329526
24,8.618232286602222,8.581472041055031,2.6161099032492134
25,8.576445278781064,8.608673272074553,2.624774816067541
26,8.554465204557642,8.62046548420631,2.6308981726065688
27,8.505819886981003,8.62217588263944,2.638481496296641
28,8.449418935227278,8.631169445378235,2.6504497043976
29,8.394204592155777,8.656685266906978,2.681053319126926
30,8.335786540026875,8.646773356531952,2.7127217939549744
31,8.298922316642605,8.656039642208409,2.7234302706948963
32,8.24327855263477,8.703196062601927,2.750828519696785
33,8.18102829934738,8.735232404593235,2.75300554701389
34,8.146915665895307,8.740410662450916,2.747318491299927
35,8.071908044290872,8.779028296982007,2.7800233121267506
36,8.040265967554868,8.770759859100812,2.790597356856924
37,8.009933511810184,8.779818723695753,2.804947312457042
38,7.966625165339666,8.79546187865201,2.811437676323448
39,7.8920232822528975,8.820879993802246,2.8311217319019075
40,7.819071868418803,8.83656655466238,2.847698076607855
41,7.761811428604163,8.837591343202677,2.8667551382682723
42,7.729226384497776,8.834475874952886,2.8772010570348456
43,7.710392761356343,8.830778296225073,2.877718866438421
44,7.6816958015076136,8.832282335929001,2.8797466070068736
45,7.611792731480555,8.865488091235177,2.9032919921526297
